nace_code,nace_description,emission_factor_kgco2e_per_eur,total_output_eur,num_countries,example_sectors,data_source,year
01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",0.6760661437778687,600946399450.5717,49,Oil seeds; Wheat,EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
01.12,Growing of rice,3.676724468194199,354554811933.6623,27,Paddy rice,EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
01.13,"Growing of vegetables and melons, roots and tubers",0.2686719442163022,2107477634826.0261,49,"Sugar cane, sugar beet; Vegetables, fruit, nuts",EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
01.16,Growing of fibre crops,0.3279064150018798,122065120842.17668,37,Plant-based fibers,EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
01.19,Growing of other non-perennial crops,0.6291646426756642,658394072947.771,49,Cereal grains nec; Crops nec,EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
01.41,Raising of dairy cattle,4.531907677580275,817737959196.7288,49,Cattle; Raw milk,EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
01.45,Raising of sheep and goats,0.9062933503150395,14469472412.164236,49,"Wool, silk-worm cocoons",EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
01.46,Raising of swine/pigs,0.44929510169452985,412145820465.8511,49,Pigs,EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
01.47,Raising of poultry,0.3773215376122649,471480566640.0576,49,Poultry,EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
01.49,Raising of other animals,1.647928170670429,237389629865.8785,49,Animal products nec; Meat animals nec,EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
02.20,Logging,0.35754048670830046,178612145815.5437,48,"Products of forestry, logging and related services (02)",EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
03.11,Marine fishing,0.17696725039213013,482113557034.3228,49,Fish and other fishing products; services incidental of fishing (05),EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
05.10,Mining of hard coal,1.5277499068635956,1048345438875.5996,35,Other Bituminous Coal; Anthracite,EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
05.20,Unknown NACE description,1.577814138265345,9711223453.207947,23,Lignite/Brown Coal,EXIOBASE_3.9.6_IOT_2022_pxp_AR6_GWP,2022
