NACE2,EXIOBASE name,EXIOBASE code
1.11,Wheat,p01.b
1.11,Cereal grains nec,p01.c
1.11,Oil seeds,p01.e
1.11,"Vegetables, fruit, nuts",p01.d
1.12,Paddy rice,p01.a
1.13,"Vegetables, fruit, nuts",p01.d
1.13,Crops nec,p01.h
1.14,"Sugar cane, sugar beet",p01.f
1.15,Crops nec,p01.h
1.16,Plant-based fibers,p01.g
1.19,Crops nec,p01.h
1.21,"Vegetables, fruit, nuts",p01.d
1.22,"Vegetables, fruit, nuts",p01.d
1.23,"Vegetables, fruit, nuts",p01.d
1.24,"Vegetables, fruit, nuts",p01.d
1.25,"Vegetables, fruit, nuts",p01.d
1.26,"Vegetables, fruit, nuts",p01.d
1.27,Crops nec,p01.h
1.28,Crops nec,p01.h
1.29,Crops nec,p01.h
1.3,Crops nec,p01.h
1.41,Raw milk,p01.n
1.42,Cattle,p01.i
1.43,Meat animals nec,p01.l
1.44,Meat animals nec,p01.l
1.45,Meat animals nec,p01.l
1.45,"Wool, silk-worm cocoons",p01.o
1.46,Pigs,p01.j
1.47,Poultry,p01.k
1.49,Meat animals nec,p01.l
1.49,Animal products nec,p01.m
1.5,Cereal grains nec,p01.c
1.5,Oil seeds,p01.e
1.5,Wheat,p01.b
1.5,Manure (biogas treatment),p01.w.2
1.5,Manure (conventional treatment),p01.w.1
1.5,Plant-based fibers,p01.g
1.5,Raw milk,p01.n
1.5,Animal products nec,p01.m
1.5,Meat animals nec,p01.l
1.5,Poultry,p01.k
1.5,Pigs,p01.j
1.5,Cattle,p01.i
1.5,Crops nec,p01.h
1.5,"Sugar cane, sugar beet",p01.f
1.5,"Wool, silk-worm cocoons",p01.o
1.5,"Vegetables, fruit, nuts",p01.d
1.5,Paddy rice,p01.a
1.61,Crops nec,p01.h
1.61,Wheat,p01.b
1.61,Plant-based fibers,p01.g
1.61,Cereal grains nec,p01.c
1.61,Paddy rice,p01.a
1.61,Oil seeds,p01.e
1.61,"Vegetables, fruit, nuts",p01.d
1.61,"Sugar cane, sugar beet",p01.f
1.62,Manure (biogas treatment),p01.w.2
1.62,"Wool, silk-worm cocoons",p01.o
1.62,Raw milk,p01.n
1.62,Manure (conventional treatment),p01.w.1
1.62,Cattle,p01.i
1.62,Animal products nec,p01.m
1.62,Pigs,p01.j
1.62,Meat animals nec,p01.l
1.62,Poultry,p01.k
1.63,Wheat,p01.b
1.63,Oil seeds,p01.e
1.63,"Sugar cane, sugar beet",p01.f
1.63,Cereal grains nec,p01.c
1.63,Paddy rice,p01.a
1.63,"Vegetables, fruit, nuts",p01.d
1.63,Plant-based fibers,p01.g
1.63,Crops nec,p01.h
1.64,Wheat,p01.b
1.64,Cereal grains nec,p01.c
1.64,Crops nec,p01.h
1.64,Plant-based fibers,p01.g
1.64,"Vegetables, fruit, nuts",p01.d
1.64,Oil seeds,p01.e
1.64,"Sugar cane, sugar beet",p01.f
1.64,Paddy rice,p01.a
1.7,Meat animals nec,p01.l
1.7,Animal products nec,p01.m
2.1,"Products of forestry, logging and related services (02)",p02
2.2,"Products of forestry, logging and related services (02)",p02
2.3,"Products of forestry, logging and related services (02)",p02
2.4,"Products of forestry, logging and related services (02)",p02
3.11,Fish and other fishing products; services incidental of fishing (05),p05
3.12,Fish and other fishing products; services incidental of fishing (05),p05
3.21,Fish and other fishing products; services incidental of fishing (05),p05
3.22,Fish and other fishing products; services incidental of fishing (05),p05
5.1,Coking Coal,p10.b
5.1,Patent Fuel,p10.e
5.1,Other Bituminous Coal,p10.c
5.1,Sub-Bituminous Coal,p10.d
5.1,Anthracite,p10.a
5.2,Lignite/Brown Coal,p10.f
6.1,"Crude petroleum and services related to crude oil extraction, excluding surveying",p11.a
6.2,"Natural gas and services related to natural gas extraction, excluding surveying",p11.b
6.2,Natural Gas Liquids,p11.b.1
6.2,Other Hydrocarbons,p11.c
7.1,Iron ores,p13.1
7.21,Uranium and thorium ores (12),p12
7.29,Aluminium ores and concentrates,p13.20.13
7.29,Nickel ores and concentrates,p13.20.12
7.29,Other non-ferrous metal ores and concentrates,p13.20.16
7.29,"Lead, zinc and tin ores and concentrates",p13.20.15
7.29,Precious metal ores and concentrates,p13.20.14
7.29,Copper ores and concentrates,p13.20.11
8.11,Stone,p14.1
8.12,Sand and clay,p14.2
8.91,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3
8.92,Peat,p10.h
8.93,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3
8.99,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3
9.1,"Crude petroleum and services related to crude oil extraction, excluding surveying",p11.a
9.1,Other Hydrocarbons,p11.c
9.1,Natural Gas Liquids,p11.b.1
9.1,"Natural gas and services related to natural gas extraction, excluding surveying",p11.b
9.9,Iron ores,p13.1
9.9,"Lead, zinc and tin ores and concentrates",p13.20.15
9.9,Precious metal ores and concentrates,p13.20.14
9.9,Aluminium ores and concentrates,p13.20.13
9.9,Coking Coal,p10.b
9.9,Anthracite,p10.a
9.9,Uranium and thorium ores (12),p12
9.9,Peat,p10.h
9.9,Other non-ferrous metal ores and concentrates,p13.20.16
9.9,Lignite/Brown Coal,p10.f
9.9,Patent Fuel,p10.e
9.9,Copper ores and concentrates,p13.20.11
9.9,Stone,p14.1
9.9,Nickel ores and concentrates,p13.20.12
9.9,Sand and clay,p14.2
9.9,Sub-Bituminous Coal,p10.d
9.9,Other Bituminous Coal,p10.c
9.9,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3
10.11,Products of meat cattle,p15.a
10.11,Products of meat pigs,p15.b
10.11,Meat products nec,p15.d
10.12,Products of meat poultry,p15.c
10.13,Products of meat poultry,p15.c
10.13,Meat products nec,p15.d
10.13,Products of meat cattle,p15.a
10.13,Products of meat pigs,p15.b
10.2,Fish products,p15.k
10.31,Food products nec,p15.i
10.32,Food products nec,p15.i
10.39,Food products nec,p15.i
10.41,products of Vegetable oils and fats,p15.e
10.42,products of Vegetable oils and fats,p15.e
10.51,Dairy products,p15.f
10.52,Dairy products,p15.f
10.61,Processed rice,p15.g
10.61,Food products nec,p15.i
10.62,Food products nec,p15.i
10.62,Processed rice,p15.g
10.71,Food products nec,p15.i
10.72,Food products nec,p15.i
10.73,Food products nec,p15.i
10.81,Sugar,p15.h
10.82,Food products nec,p15.i
10.83,Food products nec,p15.i
10.84,Food products nec,p15.i
10.85,Food products nec,p15.i
10.86,Food products nec,p15.i
10.89,Food products nec,p15.i
10.91,Food products nec,p15.i
10.92,Food products nec,p15.i
11.01,Beverages,p15.j
11.02,Beverages,p15.j
11.03,Beverages,p15.j
11.04,Beverages,p15.j
11.05,Beverages,p15.j
11.06,Beverages,p15.j
11.07,Beverages,p15.j
12.0,Tobacco products (16),p16
13.1,Textiles (17),p17
13.2,Textiles (17),p17
13.3,Textiles (17),p17
13.91,Textiles (17),p17
13.92,Textiles (17),p17
13.93,Textiles (17),p17
13.94,Textiles (17),p17
13.95,Textiles (17),p17
13.96,Textiles (17),p17
13.99,Textiles (17),p17
